trial_number,batch_size,dropout,ensemble_method,heads,hidden_dim,lr,num_layers,pooling,use_self_loops,weight_decay,val_accuracy,test_accuracy,state
131,32,0.6346365826884184,average,8,256,0.004749071116183838,2,add,True,5.036673398818661e-05,0.8709677419354839,0.8144796380090498,COMPLETE
132,32,0.5490970180986128,average,8,256,0.008447799019426796,2,add,True,6.78905619588998e-05,0.8387096774193549,0.8099547511312217,COMPLETE
133,32,0.6419644476496217,average,8,256,0.003697164362656103,2,add,True,3.9270209886270285e-05,0.9032258064516129,0.832579185520362,COMPLETE
134,32,0.6001650634379141,average,8,256,0.0029075068664133064,2,add,True,1.1347567284061285e-05,0.8709677419354839,0.8235294117647058,COMPLETE
135,32,0.5050910882957095,transform,8,256,0.0007513095182918504,2,add,True,7.07586908838834e-05,0.8709677419354839,0.7828054298642534,COMPLETE
136,128,0.6273735705255443,transform,8,256,0.0025065845269761017,4,mean,True,4.412310567182465e-05,0.9032258064516129,0.7873303167420814,COMPLETE
137,64,0.5771454189434578,average,4,128,0.0054282183231265,3,mean,True,0.000811364706039533,0.8709677419354839,0.8144796380090498,COMPLETE
138,32,0.5883694883069375,voting,4,64,0.004332921012458949,2,add,True,5.828772999884964e-05,0.8709677419354839,0.8099547511312217,COMPLETE
139,64,0.5954379165600506,transform,8,64,0.0061005994384632145,3,mean,True,1.612680528292252e-05,0.8709677419354839,0.8235294117647058,COMPLETE
140,128,0.5352227087473632,transform,4,256,0.0009252122916362645,4,mean,True,2.5029747227837775e-05,0.8709677419354839,0.8235294117647058,COMPLETE
141,32,0.6477396176631219,average,8,256,0.007566986465126589,2,add,True,2.708098886500159e-05,0.8387096774193549,0.7873303167420814,COMPLETE
142,32,0.6431353404327782,average,8,256,0.0006497297474731397,2,add,True,2.3287971671125582e-05,0.9032258064516129,0.8099547511312217,COMPLETE
143,32,0.6585313098664776,average,8,256,0.0004995496401669394,2,add,True,3.244518743788707e-05,0.8709677419354839,0.8144796380090498,COMPLETE
144,32,0.6325314731814434,average,8,256,0.0008687698970108629,2,add,True,1.8635952427768783e-05,0.8709677419354839,0.8371040723981901,COMPLETE
145,64,0.6236218678516229,average,8,256,0.0037613549949171627,2,add,True,0.0004879232838057113,0.8709677419354839,0.8280542986425339,COMPLETE
146,32,0.615845423968523,concat,4,64,0.0007475007420775367,2,max,True,1.4147973544480395e-05,0.8709677419354839,0.8144796380090498,COMPLETE
147,128,0.6366238663075556,transform,4,256,0.0030696953130552873,2,mean,True,0.00039904246244331097,0.9032258064516129,0.7647058823529411,COMPLETE
148,64,0.6416992992519231,voting,8,64,0.00058750004021572,4,add,True,2.0965521359443827e-05,0.7419354838709677,0.6561085972850679,COMPLETE
149,64,0.5193979157334166,transform,4,128,0.009046956503911626,3,mean,True,0.0006665672114227954,0.9354838709677419,0.8099547511312217,COMPLETE
150,64,0.5201858139777561,transform,4,128,0.00931248328451688,3,mean,True,0.0006518399777438212,0.8709677419354839,0.8054298642533937,COMPLETE
151,64,0.5137634974847715,transform,4,128,0.008185196212957789,3,mean,True,0.0009761718924700135,0.9032258064516129,0.8099547511312217,COMPLETE
152,64,0.5220960532762569,transform,4,128,0.006932373107186198,3,mean,True,0.0008581648719689095,0.8709677419354839,0.746606334841629,COMPLETE
153,64,0.5408478195543798,transform,4,128,0.009803008053110959,3,mean,True,0.0007462569634375615,0.9032258064516129,0.7828054298642534,COMPLETE
154,64,0.5300667661442968,transform,4,128,0.008577944126764171,3,mean,True,3.045942916277173e-05,0.8709677419354839,0.832579185520362,COMPLETE
155,128,0.5272639154010513,average,4,256,0.0011241613257608053,3,mean,True,6.518424456647763e-05,0.8709677419354839,0.8371040723981901,COMPLETE
156,64,0.5838008046329649,transform,4,64,0.006454445956256709,2,add,True,0.0005925647183109332,0.6451612903225806,0.48868778280542985,COMPLETE
157,32,0.5166419466059159,voting,8,256,0.007537801374458119,4,mean,True,0.00020857206450269303,0.9032258064516129,0.8054298642533937,COMPLETE
158,64,0.5098765792682436,transform,4,64,0.0033597489319424708,2,max,True,0.0003105133770446955,0.8709677419354839,0.7375565610859729,COMPLETE
159,128,0.6542921681939804,average,8,128,0.0004069611319140973,3,mean,True,4.963471289324365e-05,0.8387096774193549,0.8235294117647058,COMPLETE
160,64,0.6035352818898562,concat,4,256,0.0012559354277311065,4,add,True,0.0007031184102042014,0.8387096774193549,0.7873303167420814,COMPLETE
161,128,0.5239410491243635,voting,4,256,0.0003266634753819563,2,mean,True,0.00021771419617223504,0.8709677419354839,0.8416289592760181,COMPLETE
162,128,0.5454446656920411,voting,4,256,0.000181414271676473,2,mean,True,0.000240547279911775,0.7741935483870968,0.8099547511312217,COMPLETE
163,128,0.6095808889361973,voting,4,256,0.00021706007368800756,2,mean,True,0.0005131842874013338,0.8387096774193549,0.832579185520362,COMPLETE
164,128,0.5359120933913137,voting,4,256,0.0004008656688159362,2,mean,True,7.45835294297947e-05,0.8709677419354839,0.8235294117647058,COMPLETE
165,128,0.6321364340388973,transform,4,64,0.00507214373784538,2,mean,True,1.2794360374495607e-05,0.9032258064516129,0.8280542986425339,COMPLETE
166,32,0.5939721866472814,voting,4,256,0.0005479035344456032,2,mean,True,0.00016041608741736778,0.9032258064516129,0.8280542986425339,COMPLETE
167,64,0.5986880416611672,average,8,256,0.002742821279098662,3,add,True,1.0017955577927905e-05,0.8387096774193549,0.7918552036199095,COMPLETE
168,128,0.627794598115813,transform,4,64,0.004059426667434273,2,mean,True,3.663791111299126e-05,0.9032258064516129,0.832579185520362,COMPLETE
169,64,0.6389760755135345,transform,4,256,0.008969302665504539,4,add,True,5.674760378619646e-05,0.7096774193548387,0.48868778280542985,COMPLETE
170,32,0.6480473356789458,average,8,64,0.0020781483244036985,2,mean,True,0.00036461875568282793,0.9032258064516129,0.832579185520362,COMPLETE
171,128,0.603650023211585,transform,4,256,0.0014230470774977476,3,mean,True,0.00018951046428706232,0.9032258064516129,0.8416289592760181,COMPLETE
172,128,0.6064035887801287,transform,4,256,0.00026092076134304486,3,mean,True,2.59056903277438e-05,0.8387096774193549,0.8054298642533937,COMPLETE
173,128,0.5890266836734238,transform,4,256,0.0030842363715845636,3,mean,True,2.2858819727289245e-05,0.9032258064516129,0.8054298642533937,COMPLETE
174,128,0.5602190251115324,transform,4,256,0.0024356208418721778,3,mean,True,0.0007655093413253744,0.9032258064516129,0.7918552036199095,COMPLETE
175,128,0.6127482329720941,transform,4,256,0.004677875471541772,3,mean,True,1.7264611526119374e-05,0.9032258064516129,0.8054298642533937,COMPLETE
176,64,0.622017268060282,voting,4,256,0.00380321893925866,2,max,True,2.7043509620001484e-05,0.8709677419354839,0.8144796380090498,COMPLETE
177,128,0.5732783182366193,transform,8,128,0.005581579032531797,4,add,True,1.4732562603845402e-05,0.6774193548387096,0.48868778280542985,COMPLETE
178,32,0.5997858420801042,average,4,64,0.00341032481178238,3,mean,True,0.00063468402993526,0.9032258064516129,0.8371040723981901,COMPLETE
179,64,0.6180110284166135,concat,8,256,0.002808377797013402,2,mean,True,3.082858170833852e-05,0.8709677419354839,0.8235294117647058,COMPLETE
